label,code
164889003,0
426177001,1
164890007,2
426783006,3
427084000,4
164865005,5
251146004,6
164931005,7
164934002,8
426761007,9
713422000,10
17366009,11
251166008,12
365413008,13
251223006,14
47665007,15
89792004,16
55930002,17
284470004,18
698252002,19
55827005,20
6374002,21
426627000,22
54329005,23
427393009,24
270492004,25
164930006,26
426995002,27
54016002,28
251120003,29
429622005,30
445118002,31
29320008,32
59118001,33
81898007,34
164917005,35
59931005,36
425856008,37
164873001,38
733534002,39
713427006,40
713426002,41
39732003,42
50799005,43
111975006,44
74390002,45
106068003,46
233892002,47
164937009,48
233917008,49
427172004,50
67751000119106,51
61721007,52
164947007,53
61277005,54
5609005,55
251164006,56
233897008,57
426664006,58
164909002,59
10370003,60
13640000,61
446358003,62
